log_entry,log_level
17/06/09 15:59:46 INFO executor.Executor: Running task 23.0 in stage 2225.0 (TID 100584),INFO
"17/06/10 15:23:10 INFO python.PythonRunner: Times: total = 41, boot = -112, init = 152, finish = 1",INFO
"17/06/09 19:33:33 INFO storage.MemoryStore: Block rdd_1086_8 stored as bytes in memory (estimated size 16.0 B, free 3.4 MB)",INFO
17/06/09 20:44:13 INFO executor.Executor: Running task 39.0 in stage 770.0 (TID 31119),INFO
17/06/08 17:53:24 INFO executor.Executor: Running task 3.0 in stage 2300.0 (TID 92002),INFO
17/06/09 15:16:22 INFO executor.Executor: Finished task 11.0 in stage 30.0 (TID 1172). 2269 bytes result sent to driver,INFO
17/06/08 19:35:44 INFO executor.Executor: Running task 25.0 in stage 3817.0 (TID 152741),INFO
17/06/07 15:12:09 INFO storage.BlockManager: Found block rdd_2_19 locally,INFO
"17/06/09 20:18:25 INFO python.PythonRunner: Times: total = 41, boot = 22, init = 19, finish = 0",INFO
17/06/09 21:13:09 INFO storage.BlockManager: Found block rdd_2737_24 locally,INFO
